# logg     teff
4.315200 4066.699951
3.327600 4844.899902
1.985200 4254.799805
4.395200 4428.000000
3.973200 5609.500000
3.958200 5965.899902
4.219500 6132.799805
4.115000 5986.600098
3.569100 4970.700195
3.904200 5661.000000
4.246100 6269.700195
3.884500 5564.100098
4.066600 4488.399902
4.115800 4482.600098
2.956800 4740.399902
3.722700 5166.100098
4.142400 5980.399902
4.238000 6212.700195
4.321700 5414.200195
4.386200 6274.100098
4.042500 5865.899902
4.306500 4241.500000
4.045200 5912.600098
4.175200 6049.399902
3.614900 4975.799805
4.361300 6133.899902
4.251800 5741.000000
4.154600 5971.700195
3.844000 5276.799805
4.228400 5589.700195
4.336700 5440.500000
3.931100 5437.600098
3.976200 5749.000000
4.179400 5759.500000
4.078200 5850.000000
3.663600 6540.899902
4.095900 5766.500000
4.414500 5542.600098
3.362200 4596.899902
3.877200 5493.200195
3.431600 4916.399902
3.810200 5386.000000
4.015300 5855.799805
4.348400 6048.500000
4.159600 4741.500000
4.149200 5802.200195
4.308800 5844.299805
2.814700 4768.700195
3.820900 5322.700195
4.134900 6023.500000
4.223300 5920.799805
3.841000 5259.899902
4.309100 6159.700195
2.891000 4724.700195
4.245100 5944.100098
3.879800 5378.299805
3.834700 5222.600098
3.383500 4905.899902
4.419200 4420.399902
4.168200 5980.100098
4.205900 5776.200195
4.107600 5842.000000
3.046700 4757.799805
3.495100 5556.299805
4.281400 5493.100098
4.141000 5978.700195
4.374600 5906.500000
4.344000 5670.200195
4.498600 5488.899902
4.137000 5382.799805
2.803700 4768.799805
4.367100 6234.500000
4.204500 5788.899902
4.388800 5515.799805
3.849500 5590.799805
2.810300 4721.100098
3.678600 5045.600098
1.920600 4240.799805
4.423300 6032.700195
4.481900 6079.399902
4.383500 4695.799805
4.202800 5994.500000
4.227200 5970.299805
4.641900 5385.000000
4.093600 5980.600098
4.400900 4902.700195
3.900700 5488.600098
3.365100 4905.299805
4.535500 5338.899902
4.273000 6121.200195
4.470300 4938.600098
3.990500 5780.500000
3.668400 5037.200195
3.362000 4891.200195
3.876200 5851.000000
4.403400 5536.000000
4.239700 6065.200195
3.193000 4811.100098
3.027700 4765.600098
4.086600 5954.500000
2.828700 4784.899902
3.777500 5385.399902
4.218900 6059.799805
3.725400 5101.399902
4.338200 6085.899902
3.129500 4803.000000
4.157900 5196.299805
4.053700 5758.500000
4.194600 7525.500000
3.624500 5007.100098
3.968600 5895.600098
4.312800 4554.100098
4.026500 6021.600098
3.755900 5217.299805
3.701200 4966.799805
4.282700 5569.500000
2.762100 4753.399902
4.327400 6148.700195
3.973300 5891.899902
3.922000 5877.100098
3.918300 5757.799805
4.306400 6074.100098
2.760100 4610.200195
3.733600 5272.700195
4.328400 5555.899902
2.294900 4356.500000
4.002200 5892.299805
2.808000 4741.299805
4.132700 5969.200195
3.387300 4920.399902
3.421900 4923.100098
3.418100 4878.899902
4.341300 4680.299805
3.985600 4580.600098
3.258800 4863.899902
