# logg     teff
4.336600 3448.100098
4.356300 4984.700195
4.434500 4611.399902
4.572900 3221.100098
4.620300 3280.500000
4.365400 3913.300049
4.398600 3989.300049
4.468300 3940.899902
4.694100 3290.800049
4.362700 3456.199951
4.489000 3355.800049
4.590700 3508.000000
4.534000 4059.000000
4.447300 3658.500000
4.502100 3468.600098
4.494000 4452.399902
4.495800 3949.899902
4.458400 4706.299805
4.544100 3434.800049
4.410800 3592.500000
4.188800 3897.699951
4.190400 4322.100098
4.372800 3161.000000
4.530800 3286.600098
4.557300 6393.500000
4.532100 3200.000000
4.517300 5064.500000
4.560100 3477.600098
4.635000 3390.500000
4.669400 3215.600098
4.582600 3604.500000
4.171700 4460.799805
4.275900 4565.600098
4.600900 3337.500000
3.984200 4610.299805
4.568400 3263.300049
4.446200 5553.500000
4.976300 3477.699951
4.461100 4020.000000
4.353300 3863.300049
4.462900 4081.699951
4.446600 3122.399902
4.444500 3539.899902
4.564800 3534.100098
4.585400 3515.199951
4.455100 3927.899902
4.054900 4659.000000
4.419900 4291.899902
4.460100 4023.899902
4.578200 3562.500000
4.500400 3943.000000
4.446900 3632.100098
4.642500 3518.699951
4.546200 3605.800049
4.463800 5204.500000
4.347300 4681.299805
4.439200 3755.000000
4.550600 3363.399902
4.431600 3485.899902
4.283100 4939.600098
4.346300 4949.200195
4.708800 3192.100098
4.316400 3164.600098
4.807000 3472.000000
4.388800 4868.500000
4.491900 3349.600098
4.217400 3974.800049
4.546200 3180.600098
4.597700 3159.800049
4.713000 3351.199951
4.128600 4670.799805
4.804600 3132.000000
4.561600 3619.399902
4.364700 3853.000000
4.269000 4072.600098
4.464200 3277.100098
4.347300 3761.800049
4.442300 4184.500000
4.511100 3452.800049
4.410800 4425.899902
4.329000 3647.399902
4.441800 4956.299805
4.403000 4273.100098
4.434200 3117.300049
4.431200 5735.100098
4.430200 4126.700195
4.557900 5115.299805
4.464600 5611.399902
4.549800 3523.399902
4.430700 4199.299805
4.281600 4257.200195
3.698100 3401.399902
4.406800 3406.399902
4.946600 3562.000000
4.704800 3357.500000
4.033100 4696.200195
4.391900 4832.299805
4.284400 3673.800049
4.386400 5188.600098
4.427600 4552.600098
4.359300 3685.300049
4.701400 3246.899902
4.539100 3843.500000
3.961600 4408.200195
4.263400 4366.600098
4.686400 4083.800049
4.458000 4125.600098
4.619700 3437.500000
4.384200 4598.200195
4.889400 3110.399902
4.630300 3305.699951
4.755900 7967.100098
4.425100 5502.700195
4.428300 4004.500000
4.195000 4466.399902
4.470400 3433.199951
4.415500 4133.399902
4.482100 3509.800049
4.425800 4638.600098
4.512900 3941.500000
4.542000 3906.399902
4.203700 4625.500000
4.570700 3201.800049
4.531200 3625.199951
4.396300 5634.799805
4.428300 5138.100098
4.522200 4095.100098
4.498900 3484.100098
4.578700 3180.699951
4.467400 4156.000000
4.602200 3167.000000
4.501500 5767.100098
4.323300 3305.899902
4.501000 3308.300049
4.129400 4506.799805
4.448200 4115.299805
4.394400 3938.399902
4.514900 3903.899902
4.425900 4007.199951
4.500100 4033.699951
4.927200 3316.699951
4.358400 4455.399902
4.528800 5073.299805
4.416200 4423.899902
4.393600 4706.799805
4.004200 4471.399902
4.279100 4007.199951
4.534700 3544.000000
4.465700 3372.699951
4.441100 5693.899902
4.610000 4227.399902
4.580500 3536.199951
4.510100 3804.199951
4.482700 6386.399902
4.560100 3165.899902
4.539100 5232.200195
4.543800 3260.899902
4.482700 5682.399902
4.515100 3523.199951
4.350600 3691.600098
4.998400 3352.500000
4.446800 3123.000000
4.454600 3977.600098
4.563000 3296.699951
4.474300 4907.899902
4.348800 4171.799805
4.524900 3335.500000
4.525300 3497.899902
4.446500 4700.500000
4.543600 3242.800049
4.371800 4916.600098
4.578200 3352.600098
4.236800 4353.100098
4.393700 3829.000000
4.531600 3721.100098
4.363500 6944.799805
4.544000 3323.699951
4.711800 3293.699951
4.454400 3454.600098
4.651900 3242.399902
4.477900 3346.000000
4.633500 3629.800049
4.466500 3289.100098
4.414900 4556.200195
4.601300 3267.199951
4.349800 3944.699951
4.417700 4292.500000
4.649800 3482.500000
4.349500 3991.199951
4.508300 3225.199951
4.160200 4011.600098
4.466800 5638.100098
4.248600 4317.000000
4.325600 4162.299805
4.381400 4282.399902
4.483400 3656.199951
4.426800 7274.600098
4.499600 3188.100098
4.542700 3527.699951
4.663200 3168.000000
4.629500 3376.399902
4.166100 4199.399902
4.749200 3493.199951
4.259800 4011.199951
4.469600 3267.500000
4.517300 4104.399902
4.463800 4037.100098
4.479400 3287.600098
4.997200 3346.300049
4.324000 6210.200195
4.430500 5645.500000
4.414700 4002.399902
4.373300 3527.699951
4.641500 3208.600098
4.527300 3491.699951
4.324400 3711.800049
4.530900 3344.000000
4.995700 3212.399902
4.340800 3649.000000
4.501500 5970.700195
4.481600 5795.100098
4.507500 5928.700195
3.894100 6171.700195
4.416100 5888.399902
4.673500 6418.500000
